"id","texto","insulto"
"0B0C","Nada bien","Qué tonto eres. No comprendo cómo conseguiste perder la virginidad."
"1B0C","Quizás una de esas cosas …","Tu inteligencia es igual de pequeña que tu pene"
"0B1C","Una de esas cosas.",
"1B1C","Una de esas cosas y quizás otra…",
"2B0C","Quizás dos de esas cosas …","Eres igual de inútil para entenderme que para follar"
"0B2C","Dos de esas cosas.",
"0B3C","Tres de esas cosas.","Parece que vas por buen camino, aunque sigas siendo tonto"
"1B2C","Dos de esas cosas y quizás otra …","A veces aciertas sin saber ni lo que dices. Eres un retrasado"
"2B1C","Una de esas cosas y quizás otras dos …",
"2B2C","Dos de esas cosas y quizás otras dos …",
"0B4C","Perfecto!","Cómprame algo bonito y quizás te perdone aunque seas medio subnormal…"
